CPU(%)	MEM(MB)
18.84 	 1.422
100.46 	 1.566
102.76 	 1.57
100.42 	 1.57
102.75 	 1.566
100.27 	 1.566
103.03 	 1.57
100.42 	 1.57
101.48 	 1.566
99.90 	 1.566
101.35 	 1.566
100.37 	 1.566
101.00 	 1.566
100.29 	 1.566
100.86 	 1.566
100.05 	 1.566
101.11 	 1.566
100.80 	 1.566
101.48 	 1.566
99.90 	 1.566
100.72 	 1.566
100.67 	 1.566
100.98 	 1.582
100.30 	 1.566
100.96 	 1.691
100.40 	 1.566
101.21 	 1.566
100.15 	 1.566
101.25 	 1.566
100.30 	 1.566
101.00 	 1.566
0.00 	 1.43
0.88 	 1.434
0.00 	 1.434
0.92 	 1.43
0.00 	 1.43
2.06 	 1.434
0.00 	 1.434
0.87 	 1.434
0.00 	 1.434
0.96 	 1.43
0.00 	 1.43
0.93 	 1.434
0.00 	 1.434
0.89 	 1.426
0.00 	 1.426
0.87 	 1.508
0.00 	 1.508
0.86 	 1.512
0.00 	 1.512
2.05 	 1.508
0.00 	 1.508
1.23 	 1.516
0.00 	 1.516
2.01 	 1.512
0.00 	 1.512
2.01 	 1.512
0.00 	 1.512
2.00 	 1.512
0.00 	 1.512
0.00 	 1.508
0.00 	 1.508
0.00 	 1.508
0.00 	 1.508
0.00 	 1.508
0.00 	 1.508
0.00 	 1.508
0.00 	 1.508
0.00 	 1.516
0.00 	 1.516
0.00 	 1.512
4.03 	 1.508
0.00 	 1.508
3.97 	 1.508
0.00 	 1.512
1.71 	 1.52
0.00 	 1.523
3.94 	 1.523
0.00 	 1.52
4.29 	 1.488
0.00 	 1.562
1.81 	 1.559
0.00 	 1.559
1.84 	 1.562
0.00 	 1.559
0.00 	 1.559
0.00 	 1.559
0.00 	 1.559
0.00 	 1.562
0.00 	 1.566
0.00 	 1.559
0.00 	 1.559
0.00 	 1.562
0.00 	 1.562
0.00 	 1.559
0.00 	 1.562
0.00 	 1.562
0.00 	 1.562
0.00 	 1.559
0.00 	 1.559
0.00 	 1.559
1.95 	 1.566
0.00 	 1.566
1.21 	 1.559
0.00 	 1.559
0.86 	 1.578
0.00 	 1.562
2.12 	 1.559
0.00 	 1.559
2.03 	 1.559
0.00 	 1.559
0.00 	 1.562
0.00 	 1.562
0.00 	 1.559
1.64 	 1.562
0.00 	 1.562
4.24 	 1.562
0.00 	 1.559
2.04 	 1.562
0.00 	 1.559
2.11 	 1.559
0.00 	 1.559
2.68 	 1.559
0.00 	 1.559
2.08 	 1.562
0.00 	 1.559
2.03 	 1.559
0.00 	 1.562
2.81 	 1.559
0.00 	 1.559
1.85 	 1.559
0.00 	 1.559
1.88 	 1.559
0.00 	 1.559
3.66 	 1.559
0.00 	 1.559
4.28 	 1.562
0.00 	 1.559
3.62 	 1.559
0.00 	 1.559
1.76 	 1.559
0.00 	 1.559
1.81 	 1.559
0.00 	 1.559
1.76 	 1.559
0.00 	 1.559
2.03 	 1.559
0.00 	 1.559
3.89 	 1.559
0.00 	 1.559
3.28 	 1.562
0.00 	 1.559
4.02 	 1.566
0.00 	 1.562
3.98 	 1.559
0.00 	 1.559
3.07 	 1.629
0.00 	 1.559
4.67 	 1.59
0.00 	 1.562
3.37 	 1.621
0.00 	 1.559
0.84 	 1.562
0.00 	 1.562
2.10 	 1.559
0.80 	 2.234
2.06 	 1.559
3.86 	 4.184
0.92 	 1.562
3.37 	 4.277
0.86 	 1.559
4.27 	 1.621
0.89 	 1.559
1.94 	 1.559
0.90 	 1.562
2.03 	 1.562
0.00 	 1.559
2.02 	 1.773
0.00 	 1.559
2.00 	 1.559
0.00 	 1.562
3.62 	 1.582
0.00 	 1.559
2.72 	 1.559
0.00 	 1.559
3.60 	 1.555
0.00 	 1.559
4.45 	 1.559
0.00 	 1.562
3.95 	 1.559
0.00 	 1.559
3.32 	 1.559
0.00 	 1.559
4.24 	 1.559
0.00 	 1.562
1.86 	 1.559
0.00 	 1.559
2.09 	 1.559
0.00 	 1.559
2.08 	 1.559
0.00 	 1.559
4.13 	 1.559
0.00 	 1.559
5.84 	 1.621
0.00 	 1.559
2.05 	 1.559
0.00 	 1.559
0.81 	 1.559
0.00 	 1.559
0.80 	 1.562
0.00 	 1.562
2.05 	 1.633
0.00 	 1.562
2.06 	 1.559
0.00 	 1.559
2.15 	 1.559
0.00 	 1.559
0.86 	 1.559
0.00 	 1.559
0.85 	 1.559
0.00 	 1.559
2.05 	 1.559
0.00 	 1.559
101.24 	 1.699
100.92 	 1.699
101.50 	 1.699
100.55 	 1.699
100.71 	 1.699
100.17 	 1.699
100.71 	 1.699
100.40 	 1.699
101.35 	 1.699
100.17 	 1.699
101.92 	 1.699
102.48 	 1.699
100.03 	 1.699
100.61 	 1.699
101.74 	 85.93
100.42 	 5.941
101.24 	 10.89
101.07 	 92.13
101.71 	 37.21
102.73 	 42.31
101.29 	 45.7
100.54 	 125.9
102.42 	 46.06
101.92 	 105.2
101.43 	 79.18
100.54 	 123.3
101.31 	 31.94
100.56 	 3.898
100.86 	 73
