Script started on 2021-04-03 19:46:15-03:00 [TERM="xterm-256color" TTY="/dev/pts/1" COLUMNS="205" LINES="20"]
CPU(%)	MEM(MB)
2,11 	 11,88
2,11 	 11,88
0,10 	 11,88
0,10 	 11,88
0,30 	 11,88
0,30 	 11,88
0,08 	 11,88
0,08 	 11,88
0,05 	 11,88
0,05 	 11,88
0,25 	 11,88
0,25 	 11,88
0,07 	 11,88
0,07 	 11,88
0,07 	 11,88
0,07 	 11,88
0,15 	 11,88
0,15 	 11,88
7,22 	 20,96
7,22 	 20,96
202,26 	 78,98
202,26 	 78,98
201,62 	 83
201,62 	 83
201,23 	 25,99
201,23 	 25,99
202,05 	 47,51
202,05 	 47,51
199,79 	 84,57
199,79 	 84,57
199,16 	 18
199,16 	 18
200,58 	 36,14
200,58 	 36,14
200,60 	 51,29
200,60 	 51,29
200,33 	 86,82
200,33 	 86,82
199,83 	 74,61
199,83 	 74,61
201,06 	 76,72
201,06 	 76,72
200,52 	 34,16
200,52 	 34,16
201,46 	 24,02
201,46 	 24,02
202,27 	 93,53
202,27 	 93,53
201,62 	 108,7
201,62 	 108,7
202,57 	 62,93
202,57 	 62,93
202,30 	 24,7
202,30 	 24,7
203,25 	 73,44
203,25 	 73,44
201,86 	 140,4
201,86 	 140,4
201,10 	 52,83
201,10 	 52,83
201,50 	 140,4
201,50 	 140,4
200,24 	 140,4
200,24 	 140,4
202,19 	 24,01
202,19 	 24,01
203,61 	 42,07
203,61 	 42,07
200,93 	 14,68
200,93 	 14,68
202,01 	 71,94
202,01 	 71,94
199,73 	 138,9
199,73 	 138,9
202,86 	 119,8
202,86 	 119,8
202,93 	 135
202,93 	 135
203,39 	 140,4
203,39 	 140,4
202,57 	 73,62
202,57 	 73,62
199,83 	 76,01
199,83 	 76,01
202,03 	 87,88
202,03 	 87,88
199,50 	 32,68
199,50 	 32,68
201,45 	 92,3
201,45 	 92,3
201,79 	 60,57
201,79 	 60,57
203,72 	 49,01
203,72 	 49,01
201,45 	 20,69
201,45 	 20,69
201,82 	 92,37
201,82 	 92,37
202,13 	 66,52
202,13 	 66,52
202,30 	 12,22
202,30 	 12,22
202,59 	 97,94
202,59 	 97,94
201,21 	 61,12
201,21 	 61,12
202,40 	 72,5
202,40 	 72,5
203,35 	 107,7
203,35 	 107,7
203,81 	 90,43
203,81 	 90,43
203,50 	 130,4
203,50 	 130,4
201,09 	 68,5
201,09 	 68,5
201,17 	 128,2
201,17 	 128,2
201,62 	 99,66
201,62 	 99,66
201,31 	 140,3
201,31 	 140,3
201,59 	 30
201,59 	 30
203,82 	 17,9
203,82 	 17,9
204,91 	 81,11
204,91 	 81,11
202,82 	 48,54
202,82 	 48,54
202,65 	 135,4
202,65 	 135,4
200,78 	 79,97
200,78 	 79,97
201,70 	 21,98
201,70 	 21,98
201,41 	 14,71
201,41 	 14,71
202,56 	 61,75
202,56 	 61,75
202,37 	 68,18
202,37 	 68,18
202,17 	 107,6
202,17 	 107,6
200,84 	 64,12
200,84 	 64,12
201,75 	 65,08
201,75 	 65,08
204,49 	 74,12
204,49 	 74,12
202,61 	 33,96
202,61 	 33,96
202,82 	 32,61
202,82 	 32,61
202,42 	 109,2
202,42 	 109,2
203,89 	 81,62
203,89 	 81,62
204,34 	 39,99
204,34 	 39,99
202,38 	 72,59
202,38 	 72,59
201,08 	 138,2
201,08 	 138,2
203,33 	 92,21
203,33 	 92,21
203,11 	 72,41
203,11 	 72,41
201,58 	 90,43
201,58 	 90,43
201,63 	 69,48
201,63 	 69,48
201,40 	 140,3
201,40 	 140,3
200,51 	 139,8
200,51 	 139,8
202,20 	 119,4
202,20 	 119,4
203,98 	 61,56
203,98 	 61,56
200,37 	 139,9
200,37 	 139,9
200,14 	 123,4
200,14 	 123,4
202,69 	 115,8
202,69 	 115,8
204,08 	 82,5
204,08 	 82,5
201,07 	 20,68
201,07 	 20,68
200,53 	 102,7
200,53 	 102,7
200,69 	 100,6
